county,date.of.sale,total.sales,mean.price,median.price,mode.price,population,population.change,population.change.percent,area.km2,density.per.km2
Carlow,May-11,13,142429.79,135250.00,230000.00,54612,4263,8.5,897,60.88
Cavan,May-11,24,110957.69,89500.00,65000.00,73183,9180,14.3,1932,37.88
Clare,May-11,29,136444.57,137500.00,235000.00,117196,6246,5.6,3450,33.97
Cork,May-11,173,204097.18,185000.00,200000.00,519032,37737,7.8,7500,69.2
Donegal,May-11,40,133496.89,133281.94,80000.00,161137,13873,9.4,4861,33.15
Dublin,May-11,478,309829.10,235000.00,300000.00,1273069,85893,7.2,922,1380.77
Galway,May-11,50,204249.24,177500.00,245840.46,250653,18983,8.2,6149,40.76
Kerry,May-11,57,220348.99,180000.00,180000.00,145502,5667,4.1,4807,30.27
Kildare,May-11,46,214806.89,184500.00,110132.00,210312,23977,12.9,1695,124.08
Kilkenny,May-11,29,196652.78,110000.00,80000.00,95419,7861,9,2073,46.03
Laois,May-11,48,117349.77,113021.22,120925.11,80559,13500,20.1,1720,46.84
Leitrim,May-11,12,121191.83,126674.01,,31798,2848,9.8,1590,20
Limerick,May-11,47,147575.68,140000.00,60000.00,191809,7754,4.2,2756,69.6
Longford,May-11,10,86450.93,79725.00,,39000,4609,13.4,1091,35.75
Louth,May-11,31,157694.25,145000.00,24000.00,122897,11630,10.5,826,148.79
Mayo,May-11,27,140552.07,117065.00,100000.00,130638,6799,5.5,5586,23.39
Meath,May-11,44,185869.76,179278.00,250000.00,184135,21304,13.1,2342,78.62
Monaghan,May-11,17,113553.47,102000.00,100000.00,60483,4486,8,1295,46.71
Offaly,May-11,13,121734.33,110000.00,110000.00,76687,5819,8.2,2001,38.32
Roscommon,May-11,25,107370.43,115000.00,100000.00,64065,5297,9,2548,25.14
Sligo,May-11,7,106714.29,100000.00,,65393,4499,7.4,1838,35.58
Tipperary,May-11,35,134295.52,125000.00,125000.00,158754,9510,6.4,4305,36.88
Waterford,May-11,39,143771.15,120000.00,50000.00,113795,5834,5.4,1857,61.28
Westmeath,May-11,31,119177.97,128788.55,132115.00,86164,6818,8.6,1840,46.83
Wexford,May-11,52,160546.39,149500.00,220000.00,145320,13571,10.3,2367,61.39
Wicklow,May-11,37,246677.42,207049.00,230000.00,136640,10446,8.3,2027,67.41
Carlow,May-16,39,141254.50,146000.00,15000.00,56875,2263,4.1,897,63.41
Cavan,May-16,55,93906.15,80000.00,50000.00,76092,2909,4,1932,39.39
Clare,May-16,89,124006.13,106607.92,70000.00,118627,1431,1.2,3450,34.38
Cork,May-16,470,197808.60,164750.00,132158.59,542196,23164,4.5,7500,72.29
Donegal,May-16,103,126972.40,110000.00,75000.00,158755,-2382,-1.5,4861,32.66
Dublin,May-11,1174,436018.12,300000.00,220000.00,1345402,72333,5.7,922,1459.22
Galway,May-16,294,176236.48,126000.00,60870.00,258552,7899,3.2,6149,42.05
Kerry,May-16,108,148155.45,116500.00,200000.00,147554,2052,1.4,4807,30.7
Kildare,May-16,189,248626.02,245000.00,210000.00,222130,11818,5.6,1695,131.05
Kilkenny,May-16,64,171541.69,145000.00,140000.00,99118,3699,3.9,2073,47.81
Laois,May-16,54,110072.10,100000.00,72500.00,84732,4173,5.2,1720,49.26
Leitrim,May-16,50,76698.28,65000.00,22500.00,31972,174,0.6,1590,20.11
Limerick,May-16,125,154497.36,140000.00,40000.00,195175,3366,1.8,2756,70.82
Longford,May-16,52,72892.75,63438.00,40000.00,40810,1810,4.6,1091,37.41
Louth,May-16,85,150432.65,137000.00,165000.00,128375,5478,4.5,826,155.42
Mayo,May-16,84,119460.27,96500.00,130000.00,130425,-213,-0.2,5586,23.35
Meath,May-16,133,210458.28,202500.00,214000.00,194942,10807,5.9,2342,83.24
Monaghan,May-16,24,142430.82,133579.50,60000.00,61273,790,1.3,1295,47.32
Offaly,May-16,41,136804.88,122000.00,120000.00,78003,1316,1.7,2001,38.98
Roscommon,May-16,37,82307.81,62000.00,85000.00,64436,371,0.6,2548,25.29
Sligo,May-16,102,63408.78,25000.00,15106.00,65357,-36,-0.1,1838,35.56
Tipperary,May-16,116,112455.88,100000.00,46000.00,160441,1687,1.1,4305,37.27
Waterford,May-16,111,139977.98,126000.00,70000.00,116401,2606,2.3,1857,62.68
Westmeath,May-16,70,135477.72,132000.00,150000.00,88396,2232,2.6,1840,48.04
Wexford,May-16,131,124148.71,110000.00,110000.00,149605,4285,3,2367,63.2
Wicklow,May-16,92,300231.51,255000.00,500000.00,142332,5692,4.2,2027,70.22
